peptide	lca	superkingdom	genus
peptide_0	Enterobacteriaceae	Bacteria	Other
peptide_1	Enterobacteriaceae	root	Salmonella
peptide_2	root	Bacteria	Other
peptide_3	root	Bacteria	Salmonella
peptide_4	root	Bacteria	Salmonella
peptide_5	root	root	Other
peptide_6	root	root	Tequatrovirus
peptide_7	root	Bacteria	Salmonella
peptide_8	Enterobacteriaceae	root	Tequatrovirus
peptide_9	Enterobacteriaceae	Bacteria	Salmonella
peptide_10	root	Bacteria	Salmonella
peptide_11	Enterobacteriaceae	root	Other
peptide_12	root	Bacteria	Other
peptide_13	Enterobacteriaceae	root	Tequatrovirus
peptide_14	root	Bacteria	Other
peptide_15	Enterobacteriaceae	root	Escherichia
peptide_16	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_17	Enterobacteriaceae	Bacteria	Bacillus
peptide_18	Enterobacteriaceae	root	Tequatrovirus
peptide_19	Enterobacteriaceae	Bacteria	Salmonella
peptide_20	root	root	Escherichia
peptide_21	Enterobacteriaceae	root	Other
peptide_22	root	root	Escherichia
peptide_23	root	Bacteria	Bacillus
peptide_24	root	root	Other
peptide_25	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_26	Enterobacteriaceae	Bacteria	Other
peptide_27	root	Bacteria	Other
peptide_28	Enterobacteriaceae	root	Tequatrovirus
peptide_29	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_30	Enterobacteriaceae	root	Tequatrovirus
peptide_31	root	root	Other
peptide_32	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_33	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_34	Enterobacteriaceae	Bacteria	Salmonella
peptide_35	Enterobacteriaceae	Bacteria	Escherichia
peptide_36	root	Bacteria	Bacillus
peptide_37	root	Bacteria	Salmonella
peptide_38	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_39	Enterobacteriaceae	Bacteria	Escherichia
peptide_40	root	root	Other
peptide_41	root	Bacteria	Salmonella
peptide_42	Enterobacteriaceae	Bacteria	Other
peptide_43	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_44	Enterobacteriaceae	root	Tequatrovirus
peptide_45	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_46	Enterobacteriaceae	root	Other
peptide_47	Enterobacteriaceae	root	Other
peptide_48	Enterobacteriaceae	root	Salmonella
peptide_49	root	Bacteria	Escherichia
peptide_50	root	Bacteria	Salmonella
peptide_51	Enterobacteriaceae	Bacteria	Salmonella
peptide_52	Enterobacteriaceae	root	Tequatrovirus
peptide_53	root	root	Tequatrovirus
peptide_54	Enterobacteriaceae	root	Tequatrovirus
peptide_55	Enterobacteriaceae	root	Salmonella
peptide_56	Enterobacteriaceae	root	Salmonella
peptide_57	root	root	Tequatrovirus
peptide_58	root	Bacteria	Salmonella
peptide_59	Enterobacteriaceae	root	Salmonella
peptide_60	Enterobacteriaceae	Bacteria	Salmonella
peptide_61	Enterobacteriaceae	root	Escherichia
peptide_62	root	root	Salmonella
peptide_63	Enterobacteriaceae	root	Tequatrovirus
peptide_64	Enterobacteriaceae	root	Tequatrovirus
peptide_65	root	root	Bacillus
peptide_66	Enterobacteriaceae	Bacteria	Salmonella
peptide_67	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_68	Enterobacteriaceae	root	Salmonella
peptide_69	root	root	Escherichia
peptide_70	root	root	Other
peptide_71	root	Bacteria	Tequatrovirus
peptide_72	root	Bacteria	Other
peptide_73	root	root	Tequatrovirus
peptide_74	root	Bacteria	Other
peptide_75	root	root	Other
peptide_76	root	root	Salmonella
peptide_77	root	root	Other
peptide_78	root	root	Tequatrovirus
peptide_79	root	root	Tequatrovirus
peptide_80	Enterobacteriaceae	Bacteria	Bacillus
peptide_81	Enterobacteriaceae	Bacteria	Bacillus
peptide_82	root	root	Escherichia
peptide_83	root	root	Salmonella
peptide_84	Enterobacteriaceae	root	Other
peptide_85	Enterobacteriaceae	Bacteria	Bacillus
peptide_86	root	Bacteria	Other
peptide_87	root	root	Other
peptide_88	Enterobacteriaceae	Bacteria	Escherichia
peptide_89	Enterobacteriaceae	Bacteria	Bacillus
peptide_90	root	Bacteria	Salmonella
peptide_91	Enterobacteriaceae	root	Escherichia
peptide_92	Enterobacteriaceae	root	Other
peptide_93	root	root	Salmonella
peptide_94	Enterobacteriaceae	root	Tequatrovirus
peptide_95	root	root	Other
peptide_96	root	Bacteria	Escherichia
peptide_97	Enterobacteriaceae	Bacteria	Salmonella
peptide_98	Enterobacteriaceae	root	Salmonella
peptide_99	root	Bacteria	Escherichia
