peptide	lca	superkingdom	genus
peptide_0	root	root	Salmonella
peptide_1	root	Bacteria	Bacillus
peptide_2	root	Bacteria	Tequatrovirus
peptide_3	root	Bacteria	Tequatrovirus
peptide_4	Enterobacteriaceae	root	Bacillus
peptide_5	root	root	Tequatrovirus
peptide_6	root	root	Other
peptide_7	root	Bacteria	Escherichia
peptide_8	root	Bacteria	Other
peptide_9	root	root	Escherichia
peptide_10	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_11	root	Bacteria	Tequatrovirus
peptide_12	Enterobacteriaceae	Bacteria	Other
peptide_13	root	Bacteria	Salmonella
peptide_14	root	root	Escherichia
peptide_15	root	Bacteria	Bacillus
peptide_16	root	root	Escherichia
peptide_17	Enterobacteriaceae	root	Escherichia
peptide_18	Enterobacteriaceae	Bacteria	Bacillus
peptide_19	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_20	Enterobacteriaceae	root	Other
peptide_21	root	Bacteria	Salmonella
peptide_22	root	Bacteria	Tequatrovirus
peptide_23	Enterobacteriaceae	Bacteria	Other
peptide_24	Enterobacteriaceae	Bacteria	Bacillus
peptide_25	root	Bacteria	Tequatrovirus
peptide_26	root	root	Escherichia
peptide_27	root	root	Other
peptide_28	root	root	Other
peptide_29	Enterobacteriaceae	Bacteria	Escherichia
peptide_30	root	root	Salmonella
peptide_31	Enterobacteriaceae	Bacteria	Bacillus
peptide_32	root	root	Escherichia
peptide_33	Enterobacteriaceae	root	Salmonella
peptide_34	root	root	Escherichia
peptide_35	root	Bacteria	Tequatrovirus
peptide_36	root	root	Bacillus
peptide_37	Enterobacteriaceae	root	Escherichia
peptide_38	root	root	Tequatrovirus
peptide_39	Enterobacteriaceae	root	Tequatrovirus
peptide_40	Enterobacteriaceae	Bacteria	Salmonella
peptide_41	root	root	Tequatrovirus
peptide_42	Enterobacteriaceae	root	Bacillus
peptide_43	Enterobacteriaceae	root	Salmonella
peptide_44	Enterobacteriaceae	root	Salmonella
peptide_45	Enterobacteriaceae	root	Bacillus
peptide_46	Enterobacteriaceae	root	Tequatrovirus
peptide_47	Enterobacteriaceae	Bacteria	Other
peptide_48	Enterobacteriaceae	root	Other
peptide_49	Enterobacteriaceae	root	Other
peptide_50	root	Bacteria	Escherichia
peptide_51	root	Bacteria	Other
peptide_52	root	Bacteria	Other
peptide_53	root	Bacteria	Escherichia
peptide_54	root	Bacteria	Other
peptide_55	Enterobacteriaceae	Bacteria	Salmonella
peptide_56	root	root	Escherichia
peptide_57	root	root	Escherichia
peptide_58	Enterobacteriaceae	root	Salmonella
peptide_59	Enterobacteriaceae	root	Escherichia
peptide_60	root	root	Tequatrovirus
peptide_61	root	root	Tequatrovirus
peptide_62	root	root	Tequatrovirus
peptide_63	Enterobacteriaceae	Bacteria	Other
peptide_64	Enterobacteriaceae	root	Salmonella
peptide_65	Enterobacteriaceae	root	Other
peptide_66	Enterobacteriaceae	Bacteria	Salmonella
peptide_67	root	Bacteria	Other
peptide_68	root	root	Salmonella
peptide_69	Enterobacteriaceae	root	Other
peptide_70	Enterobacteriaceae	Bacteria	Other
peptide_71	root	Bacteria	Salmonella
peptide_72	Enterobacteriaceae	Bacteria	Salmonella
peptide_73	root	Bacteria	Bacillus
peptide_74	root	root	Salmonella
peptide_75	Enterobacteriaceae	Bacteria	Escherichia
peptide_76	Enterobacteriaceae	Bacteria	Other
peptide_77	Enterobacteriaceae	Bacteria	Salmonella
peptide_78	root	Bacteria	Other
peptide_79	root	root	Other
peptide_80	root	root	Escherichia
peptide_81	root	root	Bacillus
peptide_82	Enterobacteriaceae	Bacteria	Other
peptide_83	root	Bacteria	Escherichia
peptide_84	root	root	Salmonella
peptide_85	Enterobacteriaceae	Bacteria	Salmonella
peptide_86	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_87	Enterobacteriaceae	Bacteria	Salmonella
peptide_88	root	root	Salmonella
peptide_89	Enterobacteriaceae	Bacteria	Bacillus
peptide_90	Enterobacteriaceae	Bacteria	Escherichia
peptide_91	Enterobacteriaceae	root	Bacillus
peptide_92	root	root	Other
peptide_93	root	Bacteria	Other
peptide_94	Enterobacteriaceae	root	Salmonella
peptide_95	root	root	Other
peptide_96	Enterobacteriaceae	root	Other
peptide_97	root	Bacteria	Bacillus
peptide_98	Enterobacteriaceae	Bacteria	Salmonella
peptide_99	root	Bacteria	Escherichia
