peptide	lca	superkingdom	genus
peptide_0	root	root	Salmonella
peptide_1	root	Bacteria	Salmonella
peptide_2	Enterobacteriaceae	root	Salmonella
peptide_3	Enterobacteriaceae	Bacteria	Salmonella
peptide_4	root	root	Salmonella
peptide_5	root	root	Salmonella
peptide_6	root	root	Escherichia
peptide_7	root	Bacteria	Other
peptide_8	Enterobacteriaceae	Bacteria	Other
peptide_9	root	root	Tequatrovirus
peptide_10	root	root	Other
peptide_11	Enterobacteriaceae	root	Bacillus
peptide_12	root	root	Salmonella
peptide_13	root	Bacteria	Escherichia
peptide_14	Enterobacteriaceae	root	Bacillus
peptide_15	Enterobacteriaceae	root	Other
peptide_16	root	root	Salmonella
peptide_17	root	Bacteria	Salmonella
peptide_18	root	root	Other
peptide_19	Enterobacteriaceae	Bacteria	Escherichia
peptide_20	root	root	Salmonella
peptide_21	Enterobacteriaceae	Bacteria	Other
peptide_22	Enterobacteriaceae	Bacteria	Bacillus
peptide_23	Enterobacteriaceae	Bacteria	Other
peptide_24	root	Bacteria	Other
peptide_25	Enterobacteriaceae	Bacteria	Escherichia
peptide_26	Enterobacteriaceae	Bacteria	Escherichia
peptide_27	root	Bacteria	Other
peptide_28	Enterobacteriaceae	Bacteria	Escherichia
peptide_29	root	Bacteria	Escherichia
peptide_30	Enterobacteriaceae	root	Salmonella
peptide_31	root	root	Tequatrovirus
peptide_32	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_33	root	Bacteria	Other
peptide_34	root	root	Other
peptide_35	root	Bacteria	Salmonella
peptide_36	root	root	Tequatrovirus
peptide_37	Enterobacteriaceae	root	Other
peptide_38	root	Bacteria	Salmonella
peptide_39	Enterobacteriaceae	root	Salmonella
peptide_40	Enterobacteriaceae	root	Salmonella
peptide_41	Enterobacteriaceae	Bacteria	Salmonella
peptide_42	Enterobacteriaceae	Bacteria	Escherichia
peptide_43	root	Bacteria	Other
peptide_44	root	root	Salmonella
peptide_45	root	Bacteria	Tequatrovirus
peptide_46	Enterobacteriaceae	Bacteria	Other
peptide_47	root	root	Tequatrovirus
peptide_48	root	root	Salmonella
peptide_49	root	Bacteria	Bacillus
peptide_50	root	root	Escherichia
peptide_51	Enterobacteriaceae	root	Salmonella
peptide_52	Enterobacteriaceae	Bacteria	Escherichia
peptide_53	Enterobacteriaceae	root	Escherichia
peptide_54	root	root	Tequatrovirus
peptide_55	Enterobacteriaceae	Bacteria	Salmonella
peptide_56	Enterobacteriaceae	Bacteria	Bacillus
peptide_57	root	root	Escherichia
peptide_58	root	root	Salmonella
peptide_59	Enterobacteriaceae	Bacteria	Other
peptide_60	Enterobacteriaceae	Bacteria	Salmonella
peptide_61	root	root	Salmonella
peptide_62	Enterobacteriaceae	root	Salmonella
peptide_63	root	Bacteria	Tequatrovirus
peptide_64	Enterobacteriaceae	Bacteria	Escherichia
peptide_65	root	Bacteria	Tequatrovirus
peptide_66	root	Bacteria	Tequatrovirus
peptide_67	Enterobacteriaceae	Bacteria	Salmonella
peptide_68	Enterobacteriaceae	root	Salmonella
peptide_69	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_70	root	Bacteria	Bacillus
peptide_71	root	Bacteria	Other
peptide_72	Enterobacteriaceae	root	Bacillus
peptide_73	root	Bacteria	Other
peptide_74	Enterobacteriaceae	root	Bacillus
peptide_75	root	root	Bacillus
peptide_76	Enterobacteriaceae	root	Salmonella
peptide_77	Enterobacteriaceae	Bacteria	Tequatrovirus
peptide_78	root	root	Other
peptide_79	Enterobacteriaceae	root	Tequatrovirus
peptide_80	root	Bacteria	Salmonella
peptide_81	root	root	Other
peptide_82	Enterobacteriaceae	Bacteria	Salmonella
peptide_83	Enterobacteriaceae	Bacteria	Other
peptide_84	Enterobacteriaceae	root	Other
peptide_85	Enterobacteriaceae	root	Escherichia
peptide_86	Enterobacteriaceae	Bacteria	Other
peptide_87	Enterobacteriaceae	root	Salmonella
peptide_88	root	Bacteria	Salmonella
peptide_89	root	root	Bacillus
peptide_90	Enterobacteriaceae	Bacteria	Other
peptide_91	Enterobacteriaceae	Bacteria	Other
peptide_92	root	root	Escherichia
peptide_93	Enterobacteriaceae	root	Salmonella
peptide_94	root	Bacteria	Salmonella
peptide_95	Enterobacteriaceae	root	Tequatrovirus
peptide_96	Enterobacteriaceae	Bacteria	Bacillus
peptide_97	Enterobacteriaceae	Bacteria	Salmonella
peptide_98	root	Bacteria	Tequatrovirus
peptide_99	Enterobacteriaceae	root	Escherichia
